3511,4;
3661,4;
3808,4;
4202,4;
4366,4;
4548,4;
4895,4;
6730,3;
9226,3;
9426,3;
9675,3;
10152,3;
10329,3;
10506,3;
10885,3;
12868,5;
13827,5;
13992,5;
15696,4;
16627,6;
17760,4;
18451,4;
19557,6;
19751,4;
20575,4;
21365,4;
26315,4;
27771,1;
37040,1;
40628,2;
44110,2;
44257,3;
48040,4;
53550,5;
55421,4;
58844,7;
59159,7;
60521,2;
62839,1;
64706,1;
66459,7;
70154,4;
71089,4;
72053,4;
72582,4;
73014,4;
73433,7;
73665,7;
73932,7;
75749,6;
77574,4;
78501,3;
79437,4;
80345,5;
81204,4;
83083,4;
85055,7;
86787,7;
88647,7;
90521,6;
92284,4;
94177,4;
95063,4;
96046,7;
97895,7;
99653,7;
103382,1;
107084,6;
108894,4;
110518,2;
114022,2;
118174,3;
120024,5;
121845,4;
125136,7;
125366,7;
125626,7;
127403,6;
129234,4;
130224,4;
131058,4;
131569,4;
131994,4;
132439,4;
132571,4;
132670,4;
132787,4;
132917,3;
134782,5;
136618,4;
137583,4;
138501,4;
138931,7;
139432,7;
139892,7;
140357,2;
143992,1;
147777,4;
148188,2;
148638,4;
149074,1;
149542,4;
150006,2;
150469,4;
150966,1;
151435,4;
151913,2;
152346,4;
152815,1;
153214,4;
153711,2;
154164,4;
154697,1;
155050,4;
155949,4;
156948,2;
158707,7;
160604,7;
164110,7;
164143,2;
172211,6;
174508,4;
176338,3;
177270,5;
178074,4;
180044,2;
181862,1;
183802,2;
184720,2;
185569,4;
186444,4;
186927,4;
187391,6;
189248,3;
191012,5;
192061,4;
192933,6;
193811,4;
194813,3;
195739,5;
195772,4;
196625,5;
197559,4;
198491,7;
199402,7;
200373,7;
200868,2;
201325,1;
201770,2;
201884,1;
201999,2;
202099,1;
