6713,6;
9679,4;
10387,6;
10830,4;
12844,2;
13851,1;
14050,2;
15170,2;
15255,1;
15353,2;
15621,1;
16063,2;
16228,1;
16410,2;
16770,2;
17885,3;
18166,5;
18513,6;
19492,4;
19657,3;
20236,5;
20565,4;
21345,6;
21660,4;
22003,3;
22363,5;
22742,4;
22758,4;
23202,6;
23627,4;
24217,6;
25020,4;
32752,2;
36830,1;
40625,1;
44098,1;
44228,6;
48043,4;
51775,3;
55477,5;
59182,4;
60473,2;
64155,1;
66426,1;
73408,7;
73622,7;
73838,7;
81252,3;
84962,5;
88658,4;
92281,2;
96014,1;
99634,1;
102933,7;
103147,7;
103399,7;
107113,6;
110771,4;
112657,3;
113565,5;
114568,3;
115474,5;
116422,3;
118196,4;
119999,6;
121817,4;
123739,7;
124236,7;
124704,7;
129256,3;
131019,5;
132956,4;
134778,6;
136661,4;
137643,7;
138532,7;
140328,7;
144004,6;
147727,3;
148216,5;
149540,3;
150481,5;
151351,4;
156013,7;
156485,7;
160711,2;
162478,1;
164363,7;
164380,1;
172188,7;
172323,7;
172537,7;
174556,3;
176349,5;
177220,4;
178163,6;
181863,4;
186474,7;
186955,7;
187402,7;
191146,3;
192066,5;
192938,3;
193838,5;
194707,6;
195759,3;
196651,5;
197551,3;
198455,4;
199387,6;
200410,4;
201231,7;
201722,7;
202722,7;
